233	107400
233.5	107940
234	108330
234.5	108820
235	109300
235.5	109800
236	110320
236.5	110810
237	111350
237.5	111880
238	112410
238.5	113060
239	113540
239.5	114120
240	114700
240.5	115290
241	115900
241.5	116500
242	117150
242.5	117790
243	118450
243.5	119180
244	119780
244.5	120470
245	121180
245.5	121860
246	122600
246.5	123310
247	124050
247.5	124840
248	125600
248.5	126460
249	127170
249.5	127960
250	128790
250.5	129650
251	130510
251.5	131340
252	132240
252.5	133140
253	134070
253.5	135070
254	135940
254.5	136870
255	137810
255.5	138800
256	139800
256.5	140830
257	141860
257.5	142900
258	143950
258.5	145110
259	146150
259.5	147270
260	148420
260.5	149580
261	150740
261.5	151910
262	153130
262.5	154360
263	155630
263.5	156960
264	158180
264.5	159480
265	160850
265.5	162210
266	163600
266.5	165000
267	166420
267.5	167880
268	169380
268.5	170950
269	172410
269.5	173950
270	175550
270.5	177150
271	178820
271.5	180450
272	182180
272.5	183900
273	185690
273.5	187540
274	189300
274.5	191150
275	193060
275.5	194960
276	196950
276.5	198920
277	200970
277.5	203010
278	205150
278.5	207330
279	209470
279.5	211670
280	213960
280.5	216230
281	218630
281.5	221000
282	223490
282.5	225960
283	228520
283.5	231130
284	233700
284.5	236320
285	239110
285.5	241860
286	244750
286.5	247610
287	250630
287.5	253600
288	256690
288.5	259810
289	262990
289.5	266200
290	269580
290.5	272890
291	276390
291.5	279820
292	283440
292.5	287050
293	290870
293.5	294700
294	298610
294.5	302480
295	306580
295.5	310630
296	314960
296.5	319170
297	323670
297.5	328030
298	332670
298.5	337290
299	342070
299.5	346830
300	351890
300.5	356920
301	362180
301.5	367370
302	372790
302.5	378260
303	383950
303.5	389550
304	395500
304.5	401460
305	407660
305.5	413780
306	420260
306.5	426690
307	433460
307.5	440130
308	447200
308.5	454160
309	461540
309.5	468770
310	476430
310.5	484130
311	492000
311.5	500070
312	508400
312.5	516610
313	525370
313.5	533930
314	543050
314.5	552050
315	561520
315.5	570870
316	580740
316.5	590640
317	600790
317.5	611160
318	621900
318.5	632490
319	643660
319.5	654600
320	666330
320.5	677860
321	690000
321.5	702020
322	714610
322.5	727160
323	740200
323.5	753180
324	766880
324.5	780130
325	794450
325.5	808290
326	823030
326.5	837520
327	852830
327.5	868460
328	883600
328.5	898920
329	915250
329.5	931280
330	948100
330.5	964560
331	981830
331.5	998840
332	1016740
332.5	1034120
333	1052490
333.5	1070330
334	1089130
334.5	1107310
335	1126540
335.5	1145190
336	1164730
336.5	1183670
337	1203580
337.5	1222800
338	1242940
338.5	1262380
339	1282720
339.5	1302370
340	1322800
340.5	1342440
341	1362840
341.5	1382470
342	1401920
342.5	1422360
343	1442580
343.5	1461800
344	1481690
344.5	1500570
345	1520070
345.5	1538490
346	1557420
346.5	1575180
347	1593380
347.5	1610420
348	1627830
348.5	1643970
349	1660380
349.5	1675520
350	1690740
350.5	1704720
351	1718680
351.5	1731380
352	1743940
352.5	1755200
353	1766180
353.5	1775910
354	1785260
354.5	1793380
355	1800990
355.5	1807320
356	1813020
356.5	1817570
357	1821370
357.5	1824060
358	1825880
358.5	1826650
359	1826490
359.5	1825340
360	1823430
360.5	1820510
361	1816580
361.5	1811750
362	1805440
362.5	1798510
363	1790480
363.5	1782060
364	1772380
364.5	1762260
365	1750750
365.5	1738910
366	1725770
366.5	1712600
367	1698140
367.5	1683700
368	1667840
368.5	1652070
369	1634970
369.5	1618130
370	1600020
370.5	1582330
371	1563370
371.5	1544880
372	1525110
372.5	1505990
373	1485760
373.5	1466050
374	1445470
374.5	1426110
375	1405040
375.5	1384990
376	1364120
376.5	1343790
377	1322810
377.5	1302710
378	1281290
378.5	1261190
379	1240220
379.5	1220080
380	1199590
380.5	1179760
381	1159000
381.5	1139550
382	1119490
382.5	1100490
383	1080910
383.5	1062360
384	1042950
384.5	1024770
385	1006230
385.5	988400
386	970260
386.5	953120
387	935130
387.5	918350
388	901350
388.5	885060
389	868610
389.5	853070
390	836850
390.5	821700
391	806300
391.5	791640
392	776870
392.5	763040
393	748760
393.5	735160
394	721290
394.5	708380
395	695000
395.5	682870
396	670220
396.5	658100
397	645820
397.5	634350
398	622860
398.5	611790
399	600710
399.5	590120
400	579320
400.5	569420
401	559100
401.5	549540
402	539550
402.5	530260
403	520730
403.5	512190
404	503250
404.5	494890
405	486130
405.5	478060
406	469880
406.5	461890
407	454020
407.5	446590
408	439290
408.5	431830
409	424700
409.5	418070
410	410760
410.5	404620
411	397820
411.5	392220
412	385680
412.5	379460
413	373790
413.5	367450
414	362100
414.5	356350
415	350960
415.5	345700
416	340330
416.5	335500
417	330370
417.5	325570
418	320750
418.5	316060
419	311240
419.5	306960
420	302420
420.5	298420
421	293820
421.5	289900
422	285880
422.5	281890
423	277960
423.5	274070
424	270420
424.5	266850
425	263120
425.5	259780
426	256220
426.5	253040
427	249570
427.5	246470
428	243270
428.5	240050
429	237080
429.5	234110
430	231230
430.5	228360
431	225420
431.5	222850
432	220040
432.5	217550
433	214850
433.5	212360
434	209750
434.5	207350
435	204950
435.5	202680
436	200310
436.5	198020
437	195730
437.5	193580
438	191430
438.5	189430
439	187330
439.5	185340
440	183280
440.5	181270
441	179420
441.5	177590
442	175740
442.5	173900
443	172070
443.5	170340
444	168590
444.5	166940
445	165300
445.5	163700
446	162080
446.5	160500
447	158960
447.5	157480
448	155980
448.5	154510
449	153080
449.5	151650
450	150250
450.5	148860
451	147510
451.5	146200
452	144920
452.5	143630
453	142400
453.5	141190
454	139980
454.5	138800
455	137620
455.5	136480
456	135340
456.5	134240
457	133140
457.5	132070
458	131010
458.5	129970
459	128960
459.5	127960
460	126960
460.5	125980
461	125010
461.5	124080
462	123150
462.5	122250
463	121370
463.5	120510
464	119650
464.5	118800
465	117940
465.5	117130
466	116320
466.5	115520
467	114730
467.5	113940
468	113180
468.5	112450
469	111700
469.5	110970
470	110270
470.5	109590
471	108880
471.5	108190
472	107540
472.5	106900
473	106240
473.5	105600
474	104980
474.5	104390
475	103790
475.5	103200
476	102600
476.5	102030
477	101450
477.5	100890
478	100340
478.5	99800
479	99300
479.5	98760
480	98260
480.5	97790
481	97300
481.5	96830
482	96350
482.5	95900
483	95480
483.5	95030
484	94510
484.5	94000
485	93540
485.5	93130
486	92750
486.5	92370
487	92000
487.5	91600
488	91210
488.5	90840
489	90470
489.5	90180
490	89870
490.5	89550
491	89190
491.5	88820
492	88470
492.5	88170
493	87920
493.5	87660
494	87390
494.5	87130
495	86880
495.5	86650
496	86460
496.5	86290
497	86070
497.5	85890
498	85730
498.5	85540
499	85380
499.5	85230
500	85070
500.5	84930
501	84810
501.5	84660
502	84510
502.5	84420
503	84400
503.5	84370
504	84290
504.5	84270
505	84230
505.5	84230
506	84190
506.5	84200
507	84210
507.5	84250
508	84290
508.5	84320
509	84390
509.5	84520
510	84640
510.5	84770
511	84880
511.5	85010
512	85130
512.5	85400
513	85580
513.5	85660
514	85940
514.5	86210
515	86400
515.5	86610
516	86800
516.5	87120
517	87420
517.5	87640
518	87980
518.5	88220
519	88530
519.5	88850
520	89170
520.5	89510
521	89860
521.5	90170
522	90510
522.5	90900
523	91290
523.5	91630
524	91970
524.5	92310
525	92700
525.5	93080
526	93480
526.5	93880
527	94300
527.5	94650
528	95050
528.5	95450
529	95820
529.5	96170
530	96540
530.5	96900
531	97290
531.5	97670
532	98040
532.5	98400
533	98780
533.5	99170
534	99530
534.5	99900
535	100240
535.5	100600
536	100960
536.5	101290
537	101620
537.5	101950
538	102270
538.5	102590
539	102890
539.5	103170
540	103460
540.5	103730
541	103990
541.5	104230
542	104460
542.5	104690
543	104890
543.5	105100
544	105270
544.5	105440
545	105590
545.5	105710
546	105830
546.5	105960
547	106020
547.5	106070
548	106150
548.5	106240
549	106280
549.5	106310
550	106290
550.5	106290
551	106270
551.5	106220
552	106160
552.5	106090
553	106010
553.5	105900
554	105790
554.5	105670
555	105550
555.5	105420
556	105280
556.5	105100
557	104920
557.5	104750
558	104570
558.5	104340
559	104130
559.5	103930
560	103710
560.5	103480
561	103230
561.5	103000
562	102760
562.5	102500
563	102270
563.5	102030
564	101770
564.5	101530
565	101290
565.5	101070
566	100830
566.5	100580
567	100340
567.5	100110
568	99920
568.5	99690
569	99450
569.5	99270
570	99090
570.5	98900
571	98730
571.5	98580
572	98440
572.5	98280
573	98150
573.5	98020
574	97910
574.5	97810
575	97720
575.5	97640
576	97600
576.5	97540
577	97520
577.5	97490
578	97490
578.5	97490
579	97520
579.5	97550
580	97560
580.5	97630
581	97680
581.5	97760
582	97850
582.5	97970
583	98100
583.5	98210
584	98340
584.5	98490
585	98660
585.5	98830
586	99000
586.5	99190
587	99370
587.5	99580
588	99770
588.5	99980
589	100200
589.5	100420
590	100650
590.5	100870
591	101090
591.5	101340
592	101570
592.5	101820
593	102060
593.5	102300
594	102550
594.5	102780
595	103020
595.5	103230
596	103450
596.5	103650
597	103850
597.5	104050
598	104270
598.5	104440
599	104630
599.5	104790
600	104970
600.5	105120
601	105270
601.5	105400
602	105530
602.5	105630
603	105710
603.5	105790
604	105870
604.5	105920
605	105990
605.5	106010
606	106030
606.5	106020
607	106010
607.5	106000
608	105980
608.5	105930
609	105880
609.5	105820
610	105750
610.5	105670
611	105580
611.5	105460
612	105310
612.5	105170
613	105030
613.5	104900
614	104790
614.5	104650
615	104490
615.5	104320
616	104130
616.5	103980
617	103820
617.5	103660
618	103480
618.5	103330
619	103140
619.5	102980
620	102810
620.5	102670
621	102530
621.5	102400
622	102250
622.5	102100
623	101960
623.5	101840
624	101720
624.5	101610
625	101560
625.5	101470
626	101370
626.5	101300
627	101250
627.5	101220
628	101180
628.5	101150
629	101130
629.5	101130
630	101140
630.5	101140
631	101200
631.5	101240
632	101310
632.5	101360
633	101460
633.5	101520
634	101600
634.5	101690
635	101810
635.5	101930
636	102060
636.5	102190
637	102320
637.5	102480
638	102640
638.5	102800
639	102960
639.5	103090
640	103270
640.5	103430
641	103570
641.5	103740
642	103900
642.5	104080
643	104220
643.5	104370
644	104520
644.5	104670
645	104820
645.5	104930
646	105070
646.5	105180
647	105280
647.5	105360
648	105460
648.5	105510
649	105610
649.5	105650
650	105720
650.5	105730
651	105740
651.5	105700
652	105680
652.5	105680
653	105640
653.5	105590
654	105510
654.5	105440
655	105370
655.5	105340
656	105230
656.5	105120
657	104920
657.5	104770
658	104640
658.5	104500
659	104380
659.5	104240
660	104100
660.5	103880
661	103720
661.5	103550
662	103420
662.5	103240
663	103140
663.5	103000
664	102930
664.5	102800
665	102600
665.5	102480
666	102390
666.5	102380
667	102270
667.5	102180
668	102090
668.5	102070
669	102090
669.5	102090
670	102060
670.5	102120
671	102120
671.5	102150
672	102230
672.5	102250
673	102360
673.5	102490
674	102610
674.5	102690
675	102780
675.5	102980
676	103070
676.5	103250
677	103420
677.5	103570
678	103760
678.5	103930
679	104090
679.5	104160
680	104300
680.5	104460
681	104540
681.5	104650
682	104780
682.5	104870
683	104970
683.5	104980
684	105080
684.5	105100
685	105180
685.5	105190
686	105220
686.5	105210
687	105190
687.5	105170
688	105090
688.5	105060
689	105010
689.5	104910
690	104840
690.5	104850
691	104670
691.5	104590
692	104480
692.5	104380
693	104370
693.5	104320
694	104270
694.5	104280
695	104210
695.5	104220
696	104130
696.5	104130
697	104130
697.5	104160
698	104130
698.5	104220
699	104270
699.5	104330
700	104460
700.5	104600
701	104770
701.5	104850
702	104960
702.5	105100
703	105230
703.5	105400
704	105520
704.5	105650
705	105760
705.5	105920
706	106030
706.5	106150
707	106290
707.5	106420
708	106520
708.5	106630
709	106680
709.5	106680
710	106690
710.5	106660
711	106650
711.5	106610
712	106520
712.5	106420
713	106230
713.5	106060
714	105860
714.5	105640
715	105400
715.5	105140
716	104810
716.5	104480
717	104120
717.5	103780
718	103390
718.5	102990
719	102530
719.5	102100
